ID;HeatID;DateTime;Practice;Grade;chem1;chem2;chem3;procvar1;procvar2;procvar3;procvar4;procvar5
p1;H11111;24/7/18 14.27;AABBCC;G1;0,12;0,66;0,06;1,45;0,73;12,81;3,58;16,2
p2;H11111;24/7/18 15.24;AABBCC;G1;0,17;0,71;0,09;1,41;0,71;9;3;9,9
p3;H11111;24/7/18 16.22;AABBCC;G1;0,11;0,65;0,06;1,32;0,66;12,66;3,56;17,25
p4;H11111;24/7/18 17.19;AABBCC;G1;0,15;0,69;0,08;1,45;0,73;10,39;3,22;12,01
p5;H11111;24/7/18 18.17;AABBCC;G1;0,11;0,65;0,06;1,29;0,65;12,37;3,52;17,06
p6;H11111;24/7/18 19.15;AABBCC;G1;0,12;0,66;0,06;1,39;0,7;12,28;3,5;15,9
p7;H11111;24/7/18 20.12;AABBCC;G1;0,15;0,69;0,08;1,45;0,73;10,39;3,22;12,01
p8;H11111;24/7/18 21.10;AABBCC;G1;0,17;0,71;0,09;1,45;0,73;9,25;3,04;9,96
p9;H11111;24/7/18 22.07;AABBCC;G1;0,17;0,71;0,09;1,45;0,73;9,25;3,04;9,96
p10;H11111;24/7/18 23.05;AABBCC;G1;0,14;0,68;0,07;1,57;0,79;12;3,46;13,62
p11;H11112;25/7/18 3.05;AABBCC;G2;0,15;0,69;0,08;1,45;0,73;10,39;3,22;12,01
p12;H11112;25/7/18 4.06;AABBCC;G2;0,12;0,66;0,06;1,41;0,71;12,46;3,53;16
p13;H11112;25/7/18 5.07;AABBCC;G2;0,15;0,69;0,08;1,32;0,66;9,46;3,08;11,64
p14;H11112;25/7/18 6.09;AABBCC;G2;0,11;0,65;0,06;1,45;0,73;13,91;3,73;18,05
p15;H11112;25/7/18 7.10;AABBCC;G2;0,13;0,67;0,07;1,29;0,65;10,57;3,25;13,92
p16;H11112;25/7/18 8.11;AABBCC;G2;0,18;0,72;0,09;1,39;0,7;8,42;2,9;9,02
p17;H11112;25/7/18 9.13;AABBCC;G2;0,2;0,74;0,1;1,45;0,73;7,98;2,82;7,6
p18;H11112;25/7/18 10.14;AABBCC;G2;0,12;0,66;0,06;1,45;0,73;12,81;3,58;16,2
p19;H11112;25/7/18 11.15;AABBCC;G2;0,14;0,68;0,07;1,45;0,73;11,08;3,33;13,23
p20;H11112;25/7/18 12.16;AABBCC;G2;0,14;0,68;0,07;1,57;0,79;12;3,46;13,62
p21;H11112;25/7/18 13.18;AABBCC;G2;0,18;0,72;0,09;1,45;0,73;8,78;2,96;9,1
p22;H11112;25/7/18 14.19;AABBCC;G2;0,14;0,68;0,07;1,41;0,71;10,78;3,28;13,09
p23;H11113;25/7/18 19.07;XXWWYY;G3;0,09;0,63;0,05;1,32;0,66;15,33;3,91;21,7
p24;H11113;25/7/18 20.07;XXWWYY;G3;0,17;0,71;0,09;1,45;0,73;9,25;3,04;9,96
p25;H11113;25/7/18 21.07;XXWWYY;G3;0,11;0,65;0,06;1,29;0,65;12,37;3,52;17,06
p26;H11113;25/7/18 22.07;XXWWYY;G3;0,1;0,64;0,05;1,39;0,7;14,6;3,82;19,8
p27;H11113;25/7/18 23.07;XXWWYY;G3;0,13;0,67;0,07;1,45;0,73;11,88;3,45;14,61
p28;H11114;26/7/18 7.07;XXWWYY;G3;0,15;0,69;0,08;1,45;0,73;10,39;3,22;12,01
p29;H11114;26/7/18 8.07;XXWWYY;G3;0,14;0,68;0,07;1,45;0,73;11,08;3,33;13,23
p30;H11114;26/7/18 9.07;XXWWYY;G3;0,13;0,67;0,07;1,57;0,79;12,86;3,59;15,09
p31;H11114;26/7/18 10.07;XXWWYY;G3;0,2;0,74;0,1;1,45;0,73;7,98;2,82;7,6
